learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch

0.3,0.4,1.4444444444444444,3.0,0.00157055,0.99928259,100.85293764811995,13306

0.3,0.4,1.6666666666666665,1.0,-4.53318294e-06,9.99996166e-01,100.99924227026526,14400

0.3,0.4,1.6666666666666665,1.2222222222222223,-3.44173303e-05,9.99975352e-01,100.9951390596297,8251

0.3,0.4,1.6666666666666665,1.4444444444444444,2.37007309e-06,9.99994542e-01,100.9989036297834,14520

0.3,0.4,1.6666666666666665,1.6666666666666665,-2.47121456e-06,1.00001126e+00,101.0022571084815,14373

0.3,0.4,1.6666666666666665,1.8888888888888888,2.24924589e-06,1.00001167e+00,101.00232917882965,20102

0.3,0.4,1.6666666666666665,2.111111111111111,5.79062504e-05,9.99988749e-01,100.99763337165102,7653

0.3,0.4,1.6666666666666665,2.333333333333333,-7.04870163e-05,9.99989514e-01,100.99804286775755,9469

0.3,0.4,1.6666666666666665,2.5555555555555554,2.15746152e-04,1.00118687e+00,101.23707493336595,7367

0.3,0.4,1.6666666666666665,2.7777777777777777,-5.60761658e-04,9.97836949e-01,100.56891667091969,6549

0.3,0.4,1.6666666666666665,3.0,0.00948594,1.00908551,102.7883157980676,14852

0.3,0.4,1.8888888888888888,1.0,3.22989056e-05,1.00000478e+00,101.00089085784327,9655

0.3,0.4,1.8888888888888888,1.2222222222222223,-5.24815234e-07,1.00001597e+00,101.00319415321239,15811

0.3,0.4,1.8888888888888888,1.4444444444444444,-8.65683013e-06,9.99988135e-01,100.99764424011845,11214

0.3,0.4,1.8888888888888888,1.6666666666666665,-1.38059229e-05,1.00000786e+00,101.00159862573905,15038

0.3,0.4,1.8888888888888888,1.8888888888888888,3.98573948e-05,9.99951468e-01,100.99021378118366,10671

0.3,0.4,1.8888888888888888,2.111111111111111,3.56390308e-05,1.00029955e+00,101.05984780707013,8081

0.3,0.4,1.8888888888888888,2.333333333333333,0.00172541,1.00037853,101.07167614248696,6974

0.3,0.4,1.8888888888888888,2.5555555555555554,2.63492041e-04,9.96733487e-01,100.34722362630609,5206

0.3,0.4,1.8888888888888888,2.7777777777777777,0.01606032,0.98121252,97.19532769509,8588

0.3,0.4,1.8888888888888888,3.0,0.00946268,0.99518926,100.00350878877919,8846

0.3,0.4,2.111111111111111,1.0,1.48522050e-05,1.00001905e+00,101.00378091088785,11310

0.3,0.4,2.111111111111111,1.2222222222222223,4.70617534e-06,9.99998954e-01,100.99978142080914,14262

0.3,0.4,2.111111111111111,1.4444444444444444,2.13962659e-05,1.00001181e+00,101.00231984132454,17863

0.3,0.4,2.111111111111111,1.6666666666666665,-6.98486314e-05,1.00012510e+00,101.02516042684215,9884

0.3,0.4,2.111111111111111,1.8888888888888888,2.14293117e-06,9.99791500e-01,100.95830015574273,11083

0.3,0.4,2.111111111111111,2.111111111111111,-6.58477624e-05,1.00091639e+00,101.18349368419624,6002

0.3,0.4,2.111111111111111,2.333333333333333,0.0027075,1.00408707,101.81220459201327,9179

0.3,0.4,2.111111111111111,2.5555555555555554,0.00462031,1.0243476,105.9152082125942,5233

0.3,0.4,2.111111111111111,2.7777777777777777,0.01098724,0.99391104,99.74006547123243,5041

